case,semantic,triangles,components
03_galeria,gallery_bracket,72,6
03_galeria,shutter_leaf,72,6
03_galeria,structural_beam,72,6
03_galeria,parapet_cap,64,2
03_galeria,downpipe_clamp,48,4
03_galeria,plinth,48,4
03_galeria,door_raised_panel,36,3
03_galeria,opening_lintel,36,3
03_galeria,window_panel,36,3
03_galeria,mullion,36,3
03_galeria,transom,36,3
03_galeria,window_sill,36,3
03_galeria,cornice_step,36,3
03_galeria,downpipe,32,1
03_galeria,parapet,32,1
03_galeria,floor_slab,28,1
03_galeria,top_cornice,28,1
03_galeria,glazing,24,2
03_galeria,interior_backing,24,2
03_galeria,slim_mullion,24,2
03_galeria,slim_transom,24,2
03_galeria,balustrade_cap,20,1
03_galeria,door_leaf,12,1
03_galeria,door_handle,12,1
03_galeria,cornice_drip,12,1
03_galeria,gallery_slab,12,1
03_galeria,gallery_roof,12,1
03_galeria,balustrade,12,1
03_galeria,awning,12,1
03_galeria,awning_valance,12,1
03_galeria,roof_slab,12,1
04_mixed,balcony_bar,1968,164
04_mixed,curtain_fold,1728,144
04_mixed,sign_letter,708,59
04_mixed,structural_column,576,48
04_mixed,slim_frame,384,12
04_mixed,wall,300,5
04_mixed,opening_reveal,288,24
04_mixed,balcony_return,192,16
04_mixed,glazing,132,11
04_mixed,interior_backing,132,11
04_mixed,slim_mullion,132,11
04_mixed,slim_transom,132,11
04_mixed,structural_beam,108,9
04_mixed,balcony_handrail,96,8
04_mixed,material_coating,92,1
04_mixed,cornice_drip,92,7
04_mixed,awning_arm,88,4
04_mixed,downpipe_clamp,72,6
04_mixed,parapet_cap,64,2
04_mixed,floor_slab,56,2
04_mixed,balcony_slab,48,4
04_mixed,plinth,48,4
04_mixed,door_raised_panel,36,3
04_mixed,cornice_step,36,3
04_mixed,downpipe,32,1
04_mixed,parapet,32,1
04_mixed,top_cornice,28,1
04_mixed,sill_band,24,2
04_mixed,sign_bracket,24,2
04_mixed,door_leaf,12,1
04_mixed,door_handle,12,1
04_mixed,awning,12,1
04_mixed,awning_valance,12,1
04_mixed,sign_box,12,1
04_mixed,roof_slab,12,1
05_setback,curtain_fold,2280,190
05_setback,balcony_bar,1872,156
05_setback,shrub,800,8
05_setback,fence_bar,780,65
05_setback,structural_column,744,62
05_setback,slim_frame,512,16
05_setback,wall,452,11
05_setback,opening_reveal,384,32
05_setback,planter,368,4
05_setback,planting_soil,368,4
05_setback,balcony_return,192,16
05_setback,glazing,180,15
05_setback,interior_backing,180,15
05_setback,slim_mullion,180,15
05_setback,slim_transom,180,15
05_setback,structural_beam,144,12
05_setback,mortar,144,12
05_setback,garage_slat,132,11
05_setback,parapet_cap,128,4
05_setback,gate_flute,108,9
05_setback,balcony_handrail,96,8
05_setback,plinth,96,8
05_setback,material_coating,92,1
05_setback,downpipe_clamp,84,7
05_setback,cornice_step,72,6
05_setback,cornice_drip,72,6
05_setback,downpipe,64,2
05_setback,parapet,64,2
05_setback,boundary_cap,60,3
05_setback,balcony_slab,48,4
05_setback,door_raised_panel,36,3
05_setback,boundary_base,36,3
05_setback,fence_rail,36,3
05_setback,floor_slab,24,2
05_setback,roof_slab,24,2
05_setback,entrance_step,24,2
05_setback,door_leaf,12,1
05_setback,door_handle,12,1
05_setback,top_cornice,12,1
05_setback,pedestrian_gate,12,1
05_setback,garage_door,12,1
lot_1850,security_bar,716,43
lot_1850,shutter_slat,600,50
lot_1850,wall,240,20
lot_1850,structural_column,216,18
lot_1850,security_crossbar,204,12
lot_1850,window_frame,144,12
lot_1850,baluster,132,11
lot_1850,material_coating,128,9
lot_1850,structural_beam,72,6
lot_1850,opening_surround,72,6
lot_1850,parapet_cap,64,2
lot_1850,plinth,60,5
lot_1850,downpipe_clamp,48,4
lot_1850,cornice_drip,40,3
lot_1850,cornice_step,40,3
lot_1850,door_raised_panel,36,3
lot_1850,opening_lintel,36,3
lot_1850,window_panel,36,3
lot_1850,mullion,36,3
lot_1850,transom,36,3
lot_1850,window_sill,36,3
lot_1850,pilaster_cap,36,2
lot_1850,slim_frame,32,1
lot_1850,downpipe,32,1
lot_1850,parapet,32,1
lot_1850,floor_slab,28,1
lot_1850,top_cornice,28,1
lot_1850,opening_reveal,24,2
lot_1850,pilaster_base,24,2
lot_1850,pilaster,24,2
lot_1850,shutter_leaf,24,2
lot_1850,balustrade_cap,20,1
lot_1850,door_leaf,12,1
lot_1850,door_handle,12,1
lot_1850,sill_band,12,1
lot_1850,balcony_slab,12,1
lot_1850,balustrade,12,1
lot_1850,roof_slab,12,1
lot_1851,structural_column,768,64
lot_1851,security_bar,512,31
lot_1851,window_frame,480,40
lot_1851,wall,400,20
lot_1851,baluster,324,27
lot_1851,security_crossbar,312,21
lot_1851,opening_surround,240,20
lot_1851,structural_beam,192,16
lot_1851,cornice_drip,152,11
lot_1851,opening_lintel,144,10
lot_1851,window_sill,144,10
lot_1851,window_panel,120,10
lot_1851,mullion,120,10
lot_1851,transom,120,10
lot_1851,floor_slab,120,6
lot_1851,material_coating,100,5
lot_1851,cornice_step,100,6
lot_1851,sill_band,96,6
lot_1851,parapet_cap,96,2
lot_1851,plinth,84,6
lot_1851,door_raised_panel,72,6
lot_1851,slim_frame,64,2
lot_1851,balustrade_cap,60,3
lot_1851,opening_reveal,48,4
lot_1851,parapet,48,1
lot_1851,top_cornice,40,2
lot_1851,balcony_slab,36,3
lot_1851,balustrade,36,3
lot_1851,pilaster_cap,32,2
lot_1851,door_leaf,24,2
lot_1851,door_handle,24,2
lot_1851,pilaster_base,24,2
lot_1851,pilaster,24,2
lot_1851,roof_slab,20,1
lot_1849,curtain_fold,2976,248
lot_1849,balcony_bar,1440,120
lot_1849,structural_column,1368,114
lot_1849,wall,924,77
lot_1849,sign_letter,708,59
lot_1849,slim_frame,640,20
lot_1849,opening_reveal,480,40
lot_1849,material_coating,432,36
lot_1849,structural_beam,336,28
lot_1849,parapet_cap,272,2
lot_1849,plinth,232,20
lot_1849,glazing,204,17
lot_1849,interior_backing,204,17
lot_1849,slim_mullion,204,17
lot_1849,slim_transom,204,17
lot_1849,balcony_return,144,12
lot_1849,parapet,136,1
lot_1849,cornice_step,120,10
lot_1849,door_raised_panel,108,9
lot_1849,cornice_drip,96,8
lot_1849,awning_arm,88,4
lot_1849,balcony_handrail,72,6
lot_1849,floor_slab,68,3
lot_1849,top_cornice,68,3
lot_1849,roof_slab,64,1
lot_1849,downpipe_clamp,48,4
lot_1849,door_leaf,36,3
lot_1849,door_handle,36,3
lot_1849,sill_band,36,3
lot_1849,sign_box,36,3
lot_1849,balcony_slab,36,3
lot_1849,downpipe,32,1
lot_1849,sign_bracket,24,2
lot_1849,awning,12,1
lot_1849,awning_valance,12,1
lot_2451,balcony_bar,8712,726
lot_2451,curtain_fold,6816,568
lot_2451,wall,1428,119
lot_2451,sign_letter,1416,118
lot_2451,slim_frame,1408,44
lot_2451,opening_reveal,1056,88
lot_2451,balcony_return,864,72
lot_2451,structural_column,576,48
lot_2451,glazing,504,42
lot_2451,interior_backing,504,42
lot_2451,slim_mullion,504,42
lot_2451,slim_transom,504,42
lot_2451,balcony_handrail,432,36
lot_2451,cornice_drip,332,26
lot_2451,material_coating,284,12
lot_2451,balcony_slab,216,18
lot_2451,awning_arm,176,8
lot_2451,downpipe_clamp,168,14
lot_2451,floor_slab,120,6
lot_2451,structural_beam,96,8
lot_2451,cornice_step,76,6
lot_2451,door_raised_panel,72,6
lot_2451,sill_band,72,6
lot_2451,downpipe,64,2
lot_2451,parapet_cap,64,2
lot_2451,plinth,60,5
lot_2451,sign_bracket,48,4
lot_2451,top_cornice,40,2
lot_2451,parapet,32,1
lot_2451,door_leaf,24,2
lot_2451,door_handle,24,2
lot_2451,awning,24,2
lot_2451,awning_valance,24,2
lot_2451,sign_box,24,2
lot_2451,roof_slab,12,1
lot_1843,curtain_fold,5856,488
lot_1843,balcony_bar,4800,400
lot_1843,slim_frame,1216,38
lot_1843,wall,996,83
lot_1843,opening_reveal,912,76
lot_1843,structural_column,480,40
lot_1843,balcony_return,480,40
lot_1843,glazing,432,36
lot_1843,interior_backing,432,36
lot_1843,slim_mullion,432,36
lot_1843,slim_transom,432,36
lot_1843,material_coating,416,33
lot_1843,balcony_handrail,240,20
lot_1843,cornice_drip,148,12
lot_1843,balcony_slab,120,10
lot_1843,structural_beam,96,8
lot_1843,parapet_cap,96,2
lot_1843,plinth,84,7
lot_1843,cornice_step,76,6
lot_1843,door_raised_panel,72,6
lot_1843,downpipe_clamp,72,6
lot_1843,downpipe,64,2
lot_1843,parapet,48,1
lot_1843,floor_slab,40,2
lot_1843,top_cornice,40,2
lot_1843,door_leaf,24,2
lot_1843,door_handle,24,2
lot_1843,roof_slab,20,1
